Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CRVL,"Corvel Cp",153.9,2.15,+1.42%,156.01,149.83,57215,"15:14 ET"
CSGS,"C S G Sys Intl",58,0.57,+0.99%,58.3,57.09,49898,"15:14 ET"
CSII,"Cardiovascular Syst",13.96,-0.039999999999999,-0.29%,14.58,13.46,102901,"15:11 ET"
CSR,Centerspace,62.81,1.3,+2.11%,63.24,61.49,38867,"14:57 ET"
CTRE,"Caretrust REIT Inc",19.33,0.21,+1.10%,19.49,19.09,149077,"15:13 ET"
CTS,"Cts Corp",45.28,0.67,+1.50%,45.4454,44.445,44998,"15:10 ET"
CUBI,"Customers Bancorp",29.63,0.6,+2.07%,30,29.3,153405,"15:08 ET"
CUTR,"Cutera Inc",28.6,0.81,+2.91%,28.535,26.515,522288,"15:13 ET"
CVBF,"Cvb Financial Corp",25.27,0.31,+1.24%,25.5,24.95,361051,"15:12 ET"
CVCO,"Cavco Inds Inc",255.15,4.77,+1.91%,256.37,247.635,31569,"15:00 ET"
CVGW,"Calavo Growers Inc",31.16,0.050000000000001,+0.16%,31.7994,30.87,42864,"15:10 ET"
CWK,"Cushman & Wakefield Plc",13.82,0.23,+1.69%,13.91,13.65,899751,"15:13 ET"
CWT,"California Water Service Group Holding",62.01,-0.27,-0.43%,62.57,62,41126,"15:12 ET"
CXW,"Corecivic Inc",11.52,0.1,+0.88%,11.66,11.415,403691,"15:13 ET"
CYH,"Community Health Systems",4.68,0.029999999999999,+0.65%,4.75,4.57,625112,"15:14 ET"
CYTK,Cytokinetics,42.12,0.84999999999999,+2.06%,42.33,40.18,352231,"15:14 ET"
DBI,"Designer Brands Inc",9.77,0.18,+1.88%,9.8,9.47,799805,"15:12 ET"
DCOM,"Dime Community Bancshares Inc",33.22,0.79,+2.44%,33.39,32.61,33424,"15:13 ET"
DDD,"3D Systems Corp",8.96,0.020000000000001,+0.22%,9.025,8.72,559144,"15:14 ET"
DEA,"Easterly Government Properties",15.76,0.38,+2.47%,15.82,15.36,393034,"15:11 ET"
DFIN,"Donnelly Financial Solutions Inc",41.97,0.089999999999996,+0.21%,42.12,41.49,47116,"15:13 ET"
DGII,"Digi Intl Inc",36.89,0.49,+1.35%,37.035,35.96,134341,"15:08 ET"
DIN,"Dineequity Inc",74.23,1.86,+2.57%,74.85,73.31,135126,"15:14 ET"
DIOD,"Diodes Inc",85.86,1.73,+2.06%,86.23,83.62,119274,"15:06 ET"
DLX,"Deluxe Corp",19.55,0.12,+0.62%,19.75,19.47,85007,"15:13 ET"
DNOW,"Now Inc",13.23,0.25,+1.93%,13.35,12.96,255971,"15:13 ET"
DORM,"Dorman Products Inc",88.055,0.995,+1.14%,88.38,86.02,32339,"14:55 ET"
DOUG,"Douglas Elliman Inc",4.3,0.06,+1.42%,4.335,4.19,93192,"15:10 ET"
DRH,"Diamondrock Hospitality Company",8.7,0.19,+2.23%,8.74,8.515,680209,"15:12 ET"
DRQ,Dril-Quip,29.34,-0.07,-0.24%,30.68,29.22,256279,"15:12 ET"
DVAX,"Dynavax Technologies",11.17,0.21,+1.92%,11.21,10.77,348679,"15:14 ET"
DXPE,"Dxp Enterprise",30.07,0.77,+2.63%,30.22,29.5101,17811,"15:12 ET"
EAT,"Brinker International",37.07,0.28,+0.76%,37.95,36.73,455421,"15:12 ET"
EBIX,"Ebix Inc",19.51,-0.029999999999998,-0.15%,20.035,19.04,183825,"15:13 ET"
EBS,"Emergent Biosolutions",13.82,0.35,+2.60%,13.92,13.35,417180,"15:13 ET"
ECPG,"Encore Capital Group",52.64,0.72,+1.39%,52.94,51.7954,63349,"15:06 ET"
EFC,"Ellington Financial Llc",13.53,0.0099999999999998,+0.07%,13.62,13.49,463505,"15:12 ET"
EGBN,"Eagle Bancorp Inc",45.1,0.090000000000003,+0.20%,45.77,44.81,71161,"15:10 ET"
EGHT,"8X8 Inc",4.37,-0.0099999999999998,-0.23%,4.405,4.24,306525,"15:13 ET"
EGRX,"Eagle Pharmaceuticals",32.48,0.56,+1.75%,32.87,31.97,91665,"15:09 ET"
EHAB,"Enhabit Inc",13.14,-0.47,-3.45%,14.08,13.295,522430,"15:14 ET"
EIG,"Employers Holdings Inc",42.52,0.40000000000001,+0.95%,42.84,41.75,65581,"15:12 ET"
ELF,"E.L.F. Beauty Inc",50.25,1.05,+2.13%,50.62,48.1,887687,"15:14 ET"
ELME,"Elme Communities",18.55,0.18,+0.98%,18.64,18.26,136365,"15:08 ET"
EMBC,"Embecta Corp",23.25,-0.73,-3.04%,24.33,23.31,399220,"15:13 ET"
ENSG,"The Ensign Group IN",97.37,1.64,+1.71%,97.43,95.17,104727,"15:14 ET"
ENTA,"Enanta Pharmaceutica",53.2,2.65,+5.24%,53.31,49.86,74550,"15:10 ET"
ENVA,"Enova International Inc",40.7,0.38,+0.94%,41.29,40.15,77945,"15:04 ET"
EPAC,"Actuant Corp",25.41,-0.16,-0.63%,25.82,25.42,140404,"15:11 ET"
EPC,"Edgewell Personal Care",40.86,0.32,+0.79%,41,40.25,187345,"15:13 ET"
EPRT,"Essential Properties Realty Trust Inc",24.21,0.2,+0.83%,24.48,23.97,650699,"15:12 ET"
ESE,"Esco Technologies Inc",93.465,1.815,+1.98%,93.91,91.995,25049,"14:57 ET"
ETD,"Ethan Allen Interiors Inc",29.61,0.16,+0.54%,29.69,29.215,112509,"15:12 ET"
EVTC,"Evertec Inc",34.64,0.24,+0.70%,34.905,34.285,205611,"15:14 ET"
EXPO,"Exponent Inc",99.78,0.38,+0.38%,100.54,98.6275,49976,"15:14 ET"
EXTR,"Extreme Networks",19.39,0.15,+0.78%,19.51,19.23,398945,"15:10 ET"
EYE,"National Vision Holdings Inc",40.46,-0.51,-1.24%,41.27,40.32,170690,"15:13 ET"
EZPW,"Ezcorp Inc",8.88,-0.12,-1.33%,9.07,8.855,252955,"15:13 ET"
FARO,"Faro Tech Inc",33.86,1.11,+3.39%,33.99,32.83,26096,"15:08 ET"
FBK,"Fb Financial Corp",37.67,0.66,+1.78%,37.88,36.9601,28394,"15:05 ET"
FBNC,"First Bancorp [Nc]",42.23,0.54,+1.30%,42.68,41.88,35729,"15:09 ET"
FBP,"First Bancorp",13.29,0.2,+1.53%,13.41,13.16,443451,"15:14 ET"
FBRT,"Franklin Bsp Realty Trust Inc",13.85,0.17,+1.24%,13.94,13.6,123825,"15:13 ET"
FCF,"First Commonwealth Financial Corp",14.35,0.19,+1.34%,14.435,14.16,115885,"15:14 ET"
FCPT,"Four Corners Property Trust IN",28.25,0.45,+1.62%,28.435,27.86,186826,"15:14 ET"
FDP,"Fresh Del Monte Produce",27.58,0.51,+1.88%,27.62,26.9825,73608,"15:13 ET"
FELE,"Franklin Electric Company",84.79,-0.11,-0.13%,85.115,84.12,69656,"15:06 ET"
